messages	label	predictions
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: Accepted were Aristotle\'s views on all matters of science, including psychology.\nStandard Latvian: Aristoteļa viedoklis tika atzīts visos zinātnes, tostarp psiholoģijas jautājumos.\nEnglish: In its early days, the show was featured solely at the long-running internet radio site TogiNet Radio, a site focused on talk radio.\nStandard Latvian: Sākumā šovs tika raidīts tikai interneta radio vietnē TogiNet Radio, kas darbojas jau ilgstoši un kur pārsvarā notiek sarunas.\nEnglish: A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.\nStandard Latvian: Binārajam skaitlim var būt tikai divas vērības, proti, 0 vai 1, un šos skaitļus sauc par binārcipariem, jeb datorvalodā – par bitiem.\nEnglish: Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world\'s population.\nStandard Latvian: Neaizmirstiet, ka būtībā jūs apmeklējat masu kapavietu un vietu, kas neizsakāmi daudz nozīmē ievērojamam skaitam pasaules iedzīvotāju.\nEnglish: The Great Pyramid at Giza is the only one of the seven wonders that is still standing today.\nStandard Latvian: Lielā piramīda Gīzā ir vienīgā no septiņiem brīnumiem, kas šodien joprojām pastāv.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nStandard Latvian:'}]"	Mums tagad ir 4 mēnešus vecas peles, kas nav diabēta slimnieces, bet kuras agrāk bija diabēta slimnieces, viņš piebilda.	Mēs dzīvotajā laikā disposāmu, kas iepriekš bija diabētiski, bet šobrīd nav diabētiski, 4 mēnesu vecu muriņiem.
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: It was to last for the next 40 years and would be fought for real, by proxy armies, on battlefields from Africa to Asia, in Afghanistan, Cuba and many other places.\nStandard Latvian: Tam bija lemts ilgt nākamos 40\xa0gadus un, izmantojot pastarpinātas armijas, tika veikta reāla karadarbība kaujaslaukos no Āfrikas līdz Āzijai, Afganistānā, Kubā un daudzās citās vietās.\nEnglish: ""They are cooler than the surrounding surface in the day and warmer at night.\nStandard Latvian: Dienā tie ir vēsāki nekā apkārtējā virsma un naktīs siltāki.\nEnglish: Such things have become separate disciplines, which focus on providing solutions to real life problems.\nStandard Latvian: Šādas lietas ir kļuvušas par atsevišķām nozarēm, kuru uzmanības centrā ir risinājumu sniegšana reālās dzīves problēmām.\nEnglish: Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.\nStandard Latvian: Divdesmitā gadsimta pētījumi ir parādījuši, ka ir divi ģenētisko variāciju kopumi: slēptie un izteiktie.\nEnglish: All things considered, we should not be surprised if our own ancestors solved their ""protein problem"" in somewhat the same way that chimps on the savanna do today.\nStandard Latvian: Ņemot vērā visu to, nebūtu brīnums, ka mūsu priekšteči arī atrisināja savu ""proteīna problēmu"" līdzīgi, kā to šobrīd dara savannā dzīvojošās šimpanzes.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.\nStandard Latvian:'}]"	Dalhuzī Universitātes, kas atrodas Helifeksā, Jaunskotijā, medicīnas profesors un Kanādas Diabēta asociācijas Klīniskā un zinātniskā departamenta priekšsēdētājs Dr. Ehuds Ūrs brīdināja, ka pētījums vēl ir tikai pašā sākuma stadijā.	Dr. Ehud Ur, medicīnas profesors Dalhousie University Kanādā, Halifax, Novā Skotijā, un Kanādijas Diabetes Asociācijas kliniskās un zinātniskās dalības vadītājs, aicinājis, ka pētījumi vēl ir jauniešanās.
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: Italian is also the everyday language used by most of those who work in the state while Latin is often used in religious ceremonies.\nStandard Latvian: Itāļu valoda ir arī ikdienas valoda, ko izmanto lielākā daļa šajā valstī strādājošo, bet latīņu valoda bieži tiek izmantota reliģiskās ceremonijās.\nEnglish: For the Springboks, it ended a five-match losing streak.\nStandard Latvian: Ar to ""Springboks"" komanda pārtrauca piecu zaudējumu sēriju.\nEnglish: Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.\nStandard Latvian: Tiek uzskatīts, ka citus ir uzaudzinājuši dzīvnieki; daži stāsta, ka ir dzīvojuši savvaļā vieni paši.\nEnglish: Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.\nStandard Latvian: Populārākie sporta veidi ir futbols, basketbols, volejbols, ūdenspolo, paukošana, regbijs, riteņbraukšana, ledus hokejs, skrituļhokejs un F1 autosacīkstes.\nEnglish: It is one of the main attractions of South Africa and it is considered the flagship of South African National Parks (SANParks).\nStandard Latvian: Tas ir viens no galvenajiem Dienvidāfrikas apskates objektiem un tiek uzskatīts par nozīmīgāko no Dienvidāfrikas nacionālajiem parkiem (SANParks).\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.\nStandard Latvian:'}]"	Tāpat kā daži citi speciālisti, viņš skeptiski raugās uz to, vai diabētu iespējams ārstēt, un norāda, ka šie pētījuma rezultāti nav saistīti ar cilvēkiem, kuri jau slimo ar 1. tipa cukura diabētu.	Ar to pašam kā citiem ekspertiem, viņš ir skeptiskams par to, vai diabetes var izlečties, norādot, ka šie rezultāti neapliekas iespēju people, kuri jau dzīvo ar Tipu 1 diabetes.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: Large areas further north are quite sparsely populated and some is nearly uninhabited wilderness.\nStandard Latvian: Plašas teritorijas tālāk uz ziemeļiem ir diezgan reti apdzīvotas, un dažviet ir tikpat kā neapdzīvoti mežonīgi apgabali.\nEnglish: In the warm climate of the Middle East, the house was not so important.\nStandard Latvian: Tuvu Austrumu siltajā klimatā māja nebija tik svarīga.\nEnglish: If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.\nStandard Latvian: Ja jūsu apmeklētajai valstij piemēros ieteikumus par ceļošanu, var tikt ietekmēta jūsu ceļojuma veselības apdrošināšana vai ceļojuma atcelšanas apdrošināšana.\nEnglish: Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.\nStandard Latvian: Lai gan tradicionāli ne visi sāmi bija iesaistīti plaša mēroga ziemeļbriežu audzēšanā, bet gan pārtika no zvejniecības, medniecības un tamlīdzīgām nodarbēm, galvenokārt izmantojot ziemeļbriežus kā darba dzīvniekus.\nEnglish: German pastries are quite good, and in Bavaria, are quite rich and varied, similar to those of their southern neighbor, Austria.\nStandard Latvian: Vācu kulinārijas izstrādājumi ir diezgan baudāmi, turklāt Bavārijā tie ir ļoti sātīgi un daudzveidīgi, līdzīgi kā dienvidu kaimiņvalstī Austrijā.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.\nStandard Latvian:'}]	Zviedrijas Akadēmijas Nobela komitejas, kas piešķirt prēmijas literatūrā, ilggadējā sekretāre Sara Daniusa pirmdien Zviedrijas radio „Sveriges Radio” raidījumā publiski paziņoja, ka komiteja nav varējusi tieši sasniegt Bobu Dilanu saistībā ar 2016. gada Nobela prēmijas literatūrā iegūšanu un savus mēģinājumus viņu sasniegt vairs neturpinās.	Līdzās pēdējam, Sara Danius, stādijas sekretārs Nobelas komitēta literatūras nodaļas Svētas akadēmijā, publicējis radio programmā Svērīgēs Radio, ietekmējis, ka komitēta nepabeidzot sazināties ar Bob Dylana, kā ar 2016. gada Nobelas literatūras balvu saņēmēju, tā ir noslēdzis savus ietekmes, lai sazinātos ar tālumu.
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: This means you can visit the historic city for a couple of full days while returning and sleeping on the ship at night.\nStandard Latvian: Tas nozīmē, ka, atgriežoties un nakšņojot uz kuģa, jūs uz pāris dienām varat apmeklēt vēsturisko pilsētu.\nEnglish: Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.\nStandard Latvian: Policija paziņoja, ka par uzbrukuma izdarīšanu aizdomās tiek turēts cilvēks, kas tiek uzskatīts par organizācijas „Daesh” (ISIL) kaujinieku.\nEnglish: Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.\nStandard Latvian: Varasiestādes lēš, ka tas liecina par to, ka ir pārplīsušas notikuma vietā esošās urāna degvielu saturošās tvertnes un tajās radusies noplūde.\nEnglish: In addition, be aware that odors attract bears and other wildlife, so avoid carrying or cooking odorous foods and keep a clean camp.\nStandard Latvian: Turklāt atcerieties, ka smaržas piesaista lāčus un citus savvaļas dzīvniekus, tāpēc izvairieties no aromātisku ēdienu pārnēsāšanas vai gatavošanas un uzturiet nometni tīru.\nEnglish: When you call someone who is thousands of miles away, you are using a satellite.\nStandard Latvian: Zvanot kādam, kurš atrodas vairāku tūkstošu jūdžu attālumā, jūs izmantojat satelītu.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""\nStandard Latvian:'}]"	"Daniusa sacīja: ""Šobrīd mēs nedarām neko. Es esmu zvanījusi un nosūtījusi viņa tuvākajam līdzstrādniekam e-pasta vēstules, un saņēmusi ļoti draudzīgas atbildes. Patriez ar to noteikti pietiek."""	Danius saka: „Tagad mēs nekā neizdarījam. Es zvanu un nosūtu e-pastus viņa labākās sadarbības partneriem un saņemu labākajiem atbildem. Par šim laikam to varētu ticēt, ka tas ir pietiekams.”
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.\nStandard Latvian: Mums tagad ir 4 mēnešus vecas peles, kas nav diabēta slimnieces, bet kuras agrāk bija diabēta slimnieces, viņš piebilda.\nEnglish: Wagonways were built in England as early as the 16th Century.\nStandard Latvian: Vagoni tika būvēti Anglijā jau 16. gadsimtā.\nEnglish: Most deaths happen as result of fatigue trying to swim back against the current, which may be impossible.\nStandard Latvian: Vairākumā gadījumu nāvi izraisa nogurums, kas rodas, mēģinot peldēt atpakaļ pret straumi, jo tas var būt neiespējami.\nEnglish: Bipedal specializations are found in Australopithecus fossils from 4.2-3.9 million years ago, although Sahelanthropus may have walked on two legs as early as seven million years ago.\nStandard Latvian: Divkājaini īpatņi jau tika atrasti australopitēku virsģints fosilijās, kas dzīvojuši pirms 4,2–3,9 miljoniem gadu, lai gan sāhelantropu ģints pārstāvji, iespējams, staigāja uz divām kājām jau pirms 7 miljoniem gadu.\nEnglish: Duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.\nStandard Latvian: Beznodokļu iepirkšanās ir iespēja iegādāties preces, kas noteiktās vietās atbrīvotas no nodokļiem un akcīzes nodokļiem.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Previously, Ring\'s CEO, Jamie Siminoff, remarked the company started when his doorbell wasn\'t audible from his shop in his garage.\nStandard Latvian:'}]"	Iepriekš uzņēmuma „Ring” izpilddirektors Džeimijs Siminofs atzīmēja, ka viņš nodibinājis uzņēmumu tad, kad viņa veikala durvju zvans nebija dzirdams garāžā.	Iepriekš Ringa CEO, Jamie Siminoff, paziņoja, ka uzņēmums sāka savu darbu, kad viņa dorba nedzirdējās no viņa veikala savā garāžā.
"[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: Such children are called ""feral"" or wild. Some feral children have been confined by people (usually their own parents); in some cases this child abandonment was due to the parents\' rejection of a child\'s severe intellectual or physical impairment.\nStandard Latvian: Šādus bērnus sauc par ""savvaļas"" vai mežonīgiem. Dažus savvaļas bērnus ir ierobežojuši cilvēki (parasti viņu vecāki); dažos gadījumos šī bērna pamešana notika tāpēc, ka vecāki noraidīja bērna smagos intelektuālos vai fiziskos traucējumus.\nEnglish: NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.\nStandard Latvian: „NextGen” ir sistēma, kura, pēc FAA teiktā, ļautu lidmašīnai lidot īsākus maršrutus un katru gadu ietaupīt miljoniem galonu degvielas, kā arī samazināt oglekļa emisiju.\nEnglish: Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.\nStandard Latvian: Līdzīgi, ja jums ir Šengenas vīza, jums nav jāpiesakās vīzai katrā no Šengenas dalībvalstīm atsevišķi, tādējādi ietaupot laiku, naudu un darbu ar dokumentiem.\nEnglish: Earlier this week, a police helicopter crash killed three people and wounded three more.\nStandard Latvian: Šīs nedēļas sākumā policijas helikoptera avārijā bojā gāja trīs cilvēki un vēl trīs tika ievainoti.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nStandard Latvian: Valsts prokuratūras direktors Kīrs Starmers (QC - Karalienes advokāts) šorīt sniedza paziņojumu, informējot par lietas ierosināšanu pret Hūnesu un Praisu.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: He built a WiFi door bell, he said.\nStandard Latvian:'}]"	Pēc viņa teiktā viņš izgudroja bezvadu durvju zvanu.	Viņš izstrādā WiFi pogas zvani, viņ šeit sakā.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there, Jews and non-Jews alike.\nStandard Latvian: Joprojām ir dzīvi daudzi vīrieši un sievietes - gan ebreji, gan citu tautību cilvēki - kas izdzīvojuši šeit pavadīto laiku, un vēl daudzi citi, kuriem bija tuvinieki, kas tur tika nogalināti vai bija pārstrādājušies līdz nāvei.\nEnglish: Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.\nStandard Latvian: Atļautie ātruma ierobežojumi ir ievērojami mazāki nekā iepriekšējā un turpmākajā ceļa posmā\xa0— parasti 35–40\xa0jūdzes stundā (56–64\xa0km/h)\xa0—, un ir vēl svarīgāk tos strikti ievērot.\nEnglish: They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.\nStandard Latvian: Viņi atklāja, ka Saule darbojas pēc tiem pašiem pamatprincipiem kā citas zvaigznes: tika atklāts, ka visu sistēmas zvaigžņu darbību nosaka to spožums, rotācija un nekas cits.\nEnglish: Apia was founded in the 1850s and has been the official capital of Samoa since 1959.\nStandard Latvian: Apija tika dibināta 1850.-tajos gados un kopš 1959.\xa0gada tā ir Samoa oficiālā galvaspilsēta.\nEnglish: The Director of Public Prosecutions, Kier Starmer QC, gave a statement this morning announcing the prosecution of both Huhne and Pryce.\nStandard Latvian: Valsts prokuratūras direktors Kīrs Starmers (QC - Karalienes advokāts) šorīt sniedza paziņojumu, informējot par lietas ierosināšanu pret Hūnesu un Praisu.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.\nStandard Latvian:'}]	Siminofs teica, ka pārdošanas apjomi pieauga pēc tam, kad viņš 2013. gadā piedalījās vienā realitātes seriāla „Shark Tank” sērijā, kurā šova speciālistu komanda finansējumu jaunuzņēmumam nepiešķīra.	"Siminoffs dēļ pārraudzības pēc 2013. gada šo ""Shark Tank"" epizōdas, kurā shows panelis atteicis izfinansēt startuups."
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: The Amazon is also the widest river on Earth, at times six miles wide.\nStandard Latvian: Amazone ir arī visplatākā upe uz Zemes, dažviet sešas jūdzes plata.\nEnglish: Fruit pastries are common, with apples cooked into pastries year round, and cherries and plums making their appearances during the summer.\nStandard Latvian: Augļu kūciņas ar ābolu pildījumu ir nopērkamas visa gada garumā, savukārt vasarā parādās arī ar ķiršu un plūmju pildījumu.\nEnglish: According to police, the driver of the vehicle that hit the photographer is unlikely to face criminal charges.\nStandard Latvian: Saskaņā ar policijas teikto transportlīdzekļa vadītājam, kurš notrieca fotogrāfu, visticamāk netiks ierosināta krimināllieta.\nEnglish: Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.\nStandard Latvian: Robins Utapa īningos sasniedza visaugstāko rezultātu: 70\xa0skrējienos trāpot tieši 41\xa0bumbiņai un gūstot šādu rezultātu: 11\xa0skrējieni 4\xa0punktu vērtībā un 2\xa0skrējieni 6\xa0punktu vērtībā.\nEnglish: Virtual team members often function as the point of contact for their immediate physical group.\nStandard Latvian: Virtuālās komandas biedri bieži darbojas kā saziņas punkts savai tiešajai fiziskajai grupai.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: In late 2017, Siminoff appeared on shopping television channel QVC.\nStandard Latvian:'}]	2017. gada beigās Smirnoff parādījās televīzijas iepirkšanās kanālā QVC.	Vēlāk 2017. gada, Siminoff parādās televīzijā QVC.
[{'role': 'user', 'content': 'This is an English to Standard Latvian translation, please provide the Standard Latvian translation for these sentences:\nEnglish: Try aiming somewhere where you are not caught again or, depending on your skills and on whether you have been noticed, you might want to wait for rescue.\nStandard Latvian: Mēģiniet doties uz turieni, kur vairs netiksiet ierauts, vai atkarībā no savām prasmēm un no tā, vai esat pamanīts, varat gaidīt, kad ieradīsies glābēji.\nEnglish: Cuomo, 53, began his governorship earlier this year and signed a bill last month legalizing same-sex marriage.\nStandard Latvian: 53 gadus vecais Kuomo sāka savu darbību kā gubernators šā gada sākumā un pagājušajā mēnesī parakstīja likumprojektu, kas legalizē viendzimuma laulības.\nEnglish: Women did the cooking in the yard; stores were just open counters looking into the street. Stone was used for building houses.\nStandard Latvian: Sievietes ēdienu gatavoja pagalmā; veikali bija vienkāršas vaļējas letes, kas pavērstas pret ielu. Mājas būvēja no akmens.\nEnglish: Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.\nStandard Latvian: Mūsdienās daudzi sāmi strādā modernos amatos. Tūrisms ir nozīmīgs ienākumu avots sāmu apdzīvotajā teritorijā Lapzemē.\nEnglish: For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.\nStandard Latvian: Piemēram, katru gadu Beneta skolas skolēni Ziemeļkarolīnā izveido tīmekļa vietni par savu ekskursiju uz štata galvaspilsētu un katru gadu šī tīmekļa vietne tiek pārveidota, taču iepriekšējās versijas tiek saglabātas tiešsaistē kā vēstures albums.\nPlease provide the translation for the following sentence. Do not provide any explanations or text apart from the translation.\nEnglish: Ring also settled a lawsuit with competing security company, the ADT Corporation.\nStandard Latvian:'}]	Uzņēmums „Ring” arī atrisināja strīdu ar konkurējošo drošības uzņēmumu „ADT Corporation”.	Ring ar ADT Korporāciju, konkurētējai drošības uzņēmumu, izsaka tiesību procesu.
